state,population,density,Area,gsdp,literacy,total_subscribers (in mil),airtel_subscribers,airtel_market_share,total_5g_subscribers,subscriber_growth_rate,state_clean,e_transactions,e_transactions_per_1000,TELEDENSITY,5G PENETRATION
Andaman and Nicobar Islands,94551,11.46211662,8249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,andaman_and_nicobar_islands,#N/A,#N/A,#N/A,#N/A
Andhra Pradesh,21022588,76.43326728,275045,547021,60,92.22,37977109,0.43566853,1060015,0.03897037334,andhra_pradesh,251319323,5080.1,4.386710142,11494415528
Arunachal Pradesh,265965,3.429461143,77553,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,50.5705638,9996579926
Assam,6406471,81.67560366,78438,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,2.09943977,9996579926
Bihar,18913565,200.8598388,94163,361504,60,106.94,47554768,0.4505842535,910619,0.06565447765,bihar,335023495,3227.4,5.654142939,8515232841
Chandigarh,241173,2115.552632,114,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,chandigarh,#N/A,#N/A,#N/A,#N/A
Chhattisgarh,5650724,41.7977691,135192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,chhattisgarh,#N/A,#N/A,#N/A,#N/A
Dadra & Nagar Haveli,76458,155.7189409,491,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,dadra_&_nagar_haveli,#N/A,#N/A,#N/A,#N/A
Daman and DIu,60956,549.1531532,111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,daman_and_diu,#N/A,#N/A,#N/A,#N/A
Delhi,3435999,2316.924477,1483,556800,82,80.8,37877600,0.5018913479,409449,0.2426331482,delhi,85853295,5124.6,23.51572279,5067438119
Goa,343611,92.81766613,3702,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,goa,#N/A,#N/A,#N/A,#N/A
Gujarat,12248428,62.41428018,196244,984453,72,73.38,15330125,0.2165790857,664030,0.04200498043,gujarat,237894925,3939.7,5.990972882,9049195966
Haryana,4857524,109.8689044,44212,434608,71,27.93,7818369,0.2898047154,341860,0.005458509619,haryana,259366600,10230.2,5.749842924,12239885428
Himachal Pradesh,1483280,26.6427173,55673,109564,82,#N/A,#N/A,#N/A,100760,#N/A,himachal_pradesh,60969328,8892.2,#N/A,#N/A
Jammu and Kashmir,1965542,49.30866489,39862,102206,63,13.74,6600994,0.4975590489,255971,0.02438199846,jammu_kashmir,24488287,1951.4,6.990438261,18629621543
Jharkhand,6254781,78.46330724,79716,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jharkhand,#N/A,#N/A,#N/A,#N/A
Karnataka,13357027,69.64365898,191791,949111,69,88.08,43342863,0.5275915437,739834,0.1397260196,karnataka,296236628,4846,6.594281796,8399568574
Kerala,7853754,202.1454237,38852,481839,93,44.29,9548546,0.2249696257,267116,0.009044967603,kerala,144093649,4315.8,5.63934139,6031067961
Ladakh,40247,0.6804686707,59146,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,ladakh,#N/A,#N/A,#N/A,#N/A
Lakshadweep,11574,385.8,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,lakshadweep,#N/A,#N/A,#N/A,#N/A
Madhya Pradesh,15093256,48.96401645,308252,469393,64,87.26,18094100,0.2126678438,762432,0.02592142706,madhya_pradesh,168652640,2323.1,5.781390046,8737474215
Maharashtra,24421519,79.36459948,307713,1959920,77,103.93,30734356,0.303516796,959581,0.08551925637,maharashtra,480229107,4273.5,4.25567304,9232954873
Manipur,557859,24.98584673,22327,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,24.11003497,9996579926
Meghalaya,548059,24.43528468,22429,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,24.54115342,9996579926
Mizoram,222853,10.57127271,21081,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,60.35368606,9996579926
Nagaland,400614,17.59471211,22769,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,33.57346473,9996579926
Odisha,9637820,61.89715299,155707,346294,70,38.39,13069729,0.3469849384,406801,0.04028976896,odisha,327288105,7802.4,3.983265925,10596535556
Puducherry,302450,617.244898,490,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,puducherry,#N/A,#N/A,#N/A,#N/A
Punjab,5513071,109.4688654,50362,352421,71,37.84,14004977,0.3896239237,695086,0.03801656309,punjab,132442178,4780.6,6.863688133,18369080338
Rajasthan,12711146,37.14113821,342239,641940,61,68.74,25327663,0.3757321315,710618,0.03063318308,rajasthan,80346812,1170.9,5.40785229,10337765493
Sikkim,129006,18.18010147,7096,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,104.2587166,9996579926
Tamil Nadu,18524982,142.4341227,130060,1090802,74,84.36,32908515,0.4090755041,828557,0.02286030991,tamil_nadu,594199336,8236.9,4.553850579,9821680891
Tripura,855556,81.59031089,10486,111154,79,13.45,6648048,0.5055054684,134454,0.02083058329,northeast,101461955,7939.16,15.72077105,9996579926
Uttar Pradesh,33448035,138.8300032,240928,1036149,66,177.43,61461230,0.3516822739,1700577,0.03853434762,uttar_pradesh,440229948,2205.8,5.304646446,9584495294
Uttarakhand,2056975,38.46035189,53483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,uttarakhand,#N/A,#N/A,#N/A,#N/A
West Bengal,20380315,229.6321773,88752,718054,72,58.75,18780715,0.3231912951,594224,-0.00006639108344,west_bengal,1631317713,17858.3,2.882683609,10114451064
