state,population,density,Area,gsdp,literacy,total_subscribers (in mil),airtel_subscribers,airtel_market_share,total_5g_subscribers,subscriber_growth_rate,state_clean,e_transactions,e_transactions_per_1000,TELEDENSITY,5G PENETRATION,digital_per_subscriber
Andaman and Nicobar Islands,94551,11.46211662,8249,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,andaman_and_nicobar_islands,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Andhra Pradesh,21022588,76.43326728,275045,547021.0,60.0,92.22,37977109.0,0.43566853,1060015.0,0.03897037334,andhra_pradesh,251319323.0,5080.1,4.386710142,11494415528.0,2725214.9533723705
Arunachal Pradesh,265965,3.429461143,77553,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,50.5705638,9996579926.0,7543639.776951673
Assam,6406471,81.67560366,78438,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,2.09943977,9996579926.0,7543639.776951673
Bihar,18913565,200.8598388,94163,361504.0,60.0,106.94,47554768.0,0.4505842535,910619.0,0.06565447765,bihar,335023495.0,3227.4,5.654142939,8515232841.0,3132817.4209837294
Chandigarh,241173,2115.552632,114,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,chandigarh,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Chhattisgarh,5650724,41.7977691,135192,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,chhattisgarh,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Dadra & Nagar Haveli,76458,155.7189409,491,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,dadra_&_nagar_haveli,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Daman and DIu,60956,549.1531532,111,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,daman_and_diu,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Delhi,3435999,2316.924477,1483,556800.0,82.0,80.8,37877600.0,0.5018913479,409449.0,0.2426331482,delhi,85853295.0,5124.6,23.51572279,5067438119.0,1062540.7797029703
Goa,343611,92.81766613,3702,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,goa,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Gujarat,12248428,62.41428018,196244,984453.0,72.0,73.38,15330125.0,0.2165790857,664030.0,0.04200498043,gujarat,237894925.0,3939.7,5.990972882,9049195966.0,3241958.6399563914
Haryana,4857524,109.8689044,44212,434608.0,71.0,27.93,7818369.0,0.2898047154,341860.0,0.005458509619,haryana,259366600.0,10230.2,5.749842924,12239885428.0,9286308.628714643
Himachal Pradesh,1483280,26.6427173,55673,109564.0,82.0,53.82,19734001.791666668,0.41254860852083325,100760.0,0.04234281692619,himachal_pradesh,60969328.0,8892.2,17.449263899666665,10258062628.833334,1132837.7554812338
Jammu and Kashmir,1965542,49.30866489,39862,102206.0,63.0,13.74,6600994.0,0.4975590489,255971.0,0.02438199846,jammu_kashmir,24488287.0,1951.4,6.990438261,18629621543.0,1782262.518195051
Jharkhand,6254781,78.46330724,79716,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,jharkhand,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Karnataka,13357027,69.64365898,191791,949111.0,69.0,88.08,43342863.0,0.5275915437,739834.0,0.1397260196,karnataka,296236628.0,4846.0,6.594281796,8399568574.0,3363267.8019981836
Kerala,7853754,202.1454237,38852,481839.0,93.0,44.29,9548546.0,0.2249696257,267116.0,0.009044967603,kerala,144093649.0,4315.8,5.63934139,6031067961.0,3253412.711673064
Ladakh,40247,0.6804686707,59146,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,ladakh,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Lakshadweep,11574,385.8,30,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,lakshadweep,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Madhya Pradesh,15093256,48.96401645,308252,469393.0,64.0,87.26,18094100.0,0.2126678438,762432.0,0.02592142706,madhya_pradesh,168652640.0,2323.1,5.781390046,8737474215.0,1932760.0275040108
Maharashtra,24421519,79.36459948,307713,1959920.0,77.0,103.93,30734356.0,0.303516796,959581.0,0.08551925637,maharashtra,480229107.0,4273.5,4.25567304,9232954873.0,4620697.652265948
Manipur,557859,24.98584673,22327,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,24.11003497,9996579926.0,7543639.776951673
Meghalaya,548059,24.43528468,22429,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,24.54115342,9996579926.0,7543639.776951673
Mizoram,222853,10.57127271,21081,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,60.35368606,9996579926.0,7543639.776951673
Nagaland,400614,17.59471211,22769,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,33.57346473,9996579926.0,7543639.776951673
Odisha,9637820,61.89715299,155707,346294.0,70.0,38.39,13069729.0,0.3469849384,406801.0,0.04028976896,odisha,327288105.0,7802.4,3.983265925,10596535556.0,8525347.877051316
Puducherry,302450,617.244898,490,481252.44,73.56,53.82,19734001.791666668,0.41254860852083325,499326.48,0.04234281692619,puducherry,254465880.36,6390.887199999998,17.449263899666665,10258062628.833334,4728091.42251951
Punjab,5513071,109.4688654,50362,352421.0,71.0,37.84,14004977.0,0.3896239237,695086.0,0.03801656309,punjab,132442178.0,4780.6,6.863688133,18369080338.0,3500057.5581395347
Rajasthan,12711146,37.14113821,342239,641940.0,61.0,68.74,25327663.0,0.3757321315,710618.0,0.03063318308,rajasthan,80346812.0,1170.9,5.40785229,10337765493.0,1168850.916496945
Sikkim,129006,18.18010147,7096,111154.0,79.0,13.45,6648048.0,0.5055054684,134454.0,0.02083058329,northeast,101461955.0,7939.16,104.2587166,9996579926.0,7543639.776951673
Tamil Nadu,18524982,142.4341227,130060,1090802.0,74.0,84.36,32908515.0,0.4090755041,828557.0,0.02286030991,tamil_nadu,594199336.0,8236.9,4.553850579,9821680891.0,7043614.698909435
